Rank,Name,Height (meters / feet),Main Span Length (meters / feet),Completed,Location,Country
1,"Beipanjiang Bridge Duge
杭瑞高速北盘江大桥
World's Highest Bridge","1,854 feet
565 meters","2,362 feet
720 meters",2016,"Dugexiang, Guizhou",China
2,"Siduhe Bridge
四渡河特大桥","1,627 feet
496 meters","2,952 feet
900 meters",2009,"Yesanguanzhen, Hubei",China
3,"Puli Bridge
普立特大桥","1,591 feet
485 meters","2,060 feet
628 meters",2015,"Pulixiang, Yunnan",China
4,"Jinshajiang Bridge Jin'an
金安金沙江特大桥","1,512 feet
461 meters","4,547 feet
1,386 meters",2020,"Jin'an, Yunnan",China
5,"Yachi Bridge
贵黔高速鸭池河大桥","1,424 feet
434 meters","2,625 feet
800 meters",2016,"Daguanzhen, Guizhou",China
6,"Qingshuihe Bridge
清水河特大桥","1,332 feet
406 meters","3,707 feet
1,130 meters",2015,"Weng'an, Guizhou",China
7,Hegigio Gorge Pipeline Bridge,"1,289 feet
393 meters","1,542 feet
470 meters",2005,"Otoma, Southern Highlands",Papua New Guinea
8,"Baluarte Bridge
Puente Baluarte","1,280 feet
390 meters","1,706 feet
520 meters",2013,"El Palmito, Sinaloa",Mexico
9,"Liuguanghe Bridge Xiqian
息黔高速公路六广河特大桥","1,230 feet
375 meters","1,903 feet
580 meters",2017,"Liutongxiang, Guizhou",China
10,"Balinghe Bridge
坝陵河特大桥","1,214 feet
370 meters","3,570 feet
1,088 meters",2009,"Guanling, Guizhou",China
11,"Beipanjiang Bridge Guanxing
关兴公路北盘江大桥","1,200 feet
366 meters","1,273 feet
388 meters",2003,"Xingbeizhen, Guizhou",China
11.5,"Malinghe Bridge Fenglin
峰林特大桥","1,184 feet
361 meters","1,804 feet
550 meters",2021,"Xingyi, Guizhou",China
11.6,"Yangbaoshan Bridge
阳宝山特大桥","1,181 feet
360 meters","2,133 feet
650 meters",2021,"Xinbazhen, Guizhou",China
12,"Dimuhe Bridge
抵母河特大桥","1,181 feet
360 meters","1,765 feet
538 meters",2016,"Liupanshui, Guizhou",China
12A,"Skywalk, Glasswalk, Cliffwalk Viewing Platforms","1,165 feet
355 meters","6 feet
2 meters",2000,"China, Europe, USA"
12.5,"Jiangdihe Bridge
江底河特大桥","1,155 feet
352 meters","3,018 feet
920 meters",2023,"Yongren, Yunnan",China
13,"Liuchonghe Bridge
六冲河特大桥","1,115 feet
340 meters","1,437 feet
438 meters",2013,"Zhilin, Guizhou",China
14,"Aizhai Bridge
矮寨特大桥","1,102 feet
336 meters","3,858 feet
1,176 meters",2012,"Jishou, Hunan",China
15,"Lishuihe Bridge
澧水大桥","1,083 feet
330 meters","2,808 feet
856 meters",2013,"Zhangjiajie, Hunan",China
16,"Malinghe Bridge Zhaozhuang
赵庄马岭河大桥","1,079 feet
329 meters","1,345 feet
410 meters",2024,"Xingyi, Guizhou",China
17,Chenab River Railway Bridge,"1,053 feet
321 meters","1,509 feet
460 meters",2022,"Katra, Jammu-Kashmir",India
17A,List of 100 Highest Railway Bridges,"1,053 feet
321 meters","1,509 feet
460 meters",2022,China
17.5,"Lvzhijiang Bridge
绿汁江大桥","1,050 feet
320 meters","2,559 feet
780 meters",2022,"Lvzhizhen, Yunnan",China
18,"Beipanjiang Bridge Hukun
沪昆高速北盘江大桥","1,043 feet
318 meters","2,087 feet
636 meters",2009,"Qinglong, Guizhou",China
19,"Chishuihe Bridge Hongjun
赤水河红军大桥","1,033 feet
315 meters","3,937 feet
1,200 meters",2019,"Xijiuzhen, Guizhou",China
20,"Najiehe Railway Bridge
纳界河特大桥","1,017 feet
310 meters","1,155 feet
352 meters",2016,"Liuchangxiang, Guizhou",China
21,"Pingtang Bridge
平塘特大桥","1,001 feet
305 meters","1,804 feet
550 meters",2019,"Pingtang, Guizhou",China
22,"Kaizhouhu Bridge
开州湖特大桥","1,001 feet
305 meters","3,609 feet
1,100 meters",2021,"Mipingxiang, Guizhou",China
22.5,"Xiangjiang Bridge
湘江特大桥","997 feet
304 meters","1,837 feet
560 meters",2021,"Xipingzhen, Guizhou",China
23,"Liuguanghe Bridge
六广河大桥","975 feet
297 meters","787 feet
240 meters",2001,"Liu Guangzhen, Guizhou",China
23.5,"Wujiang Bridge Zunyu
遵余高速乌江特大桥","974 feet
297 meters","2,231 feet
680 meters",2021,"Shilianxiang, Guizhou",China
24,"Wujiang Bridge Meishi
湄石高速乌江特大桥","974 feet
297 meters","2,231 feet
680 meters",2021,"Benzhuangzhen, Guizhou",China
25,"Beipanjiang Railway Bridge Qinglong
沪昆高铁晴隆北盘江大桥","968 feet
295 meters","1,460 feet
445 meters",2016,"Qinglong, Guizhou",China
26,"Zhijinghe Bridge
支井河大桥","965 feet
294 meters","1,411 feet
430 meters",2009,"Dazhipingzhen, Hubei",China
27A,Temporary Construction Footbridges,"951 feet
290 meters","1,673 feet
510 meters",2000,"China, Europe, USA"
27.5,"Tian'e Longtan Bridge
天峨龙滩特大桥","(951) feet
290 meters","1,969 feet
600 meters",2023,"Tian'e, Guangxi",China
28,"Duohua Bridge
朵花特大桥","945 feet
288 meters","1,608 feet
490 meters",2021,"Longli, Guizhou",China
29,"Xixihe Bridge Qianda
黔大高速西溪河大桥","945 feet
288 meters","623 feet
190 meters",2015,"Honglinxiang, Guizhou",China
30,"Daduhe Bridge Xingkang
大渡河兴康特大桥","935 feet
285 meters","3,609 feet
1,100 meters",2018,"Luding, Sichuan",China
32,"Longjiang Bridge
龙江大桥","919 feet
280 meters","3,924 feet
1,196 meters",2016,"Wuhexiang, Yunnan",China
32.5,"Tuanjie Bridge
团结特大桥","919 feet
280 meters","1,345 feet
410 meters",2022,"Xiaoshanbao, Guizhou",China
33,"Sunxihe Bridge
笋溪河特大桥","919 feet
280 meters","2,165 feet
660 meters",2018,"Bailinzhen, Chongqing",China
34,"Millau Viaduct
Viaduc Millau
World's Tallest Bridge","909 feet
277 meters","1,122 feet
342 meters",2004,"Millau, Midi-Pyrénées",France
35,"Beipanjiang Railway Bridge Shuibai
水柏铁路北盘江大桥","902 feet
275 meters","771 feet
235 meters",2001,"Fa’er Bouyei, Guizhou",China
35.5,"Yachi Railway Bridge
成贵高铁鸭池河大桥","892 feet
272 meters","1,430 feet
436 meters",2019,"Daguanzhen, Guizhou",China
35.6,"Lancangjiang Railway Bridge Darui
大瑞铁路澜沧江大桥","890 feet
271 meters","1,122 feet
342 meters",2022,"Shanyangxiang, Yunnan",China
36,"Mike O'Callaghan-Pat Tilman Memorial Bridge
Colorado River Bridge
Hoover Dam Bypass Bridge","890 feet
271 meters","1,060 feet
323 meters",2010,"Boulder City, Nevada",United States
37,"Lianghekou Dam Bridge
两河口跨库大桥","886 feet
270 meters","722 feet
220 meters",2019,"Yajiang, Sichuan",China
37.5,"Dongxihe Bridge
东溪河特大桥","(886) feet
270 meters","1,083 feet
330 meters",2024,"Xujiazhen, Chongqing",China
38,New River Gorge Bridge,"876 feet
267 meters","1,700 feet
518 meters",1977,"Fayetteville, West Virginia",United States
38.5,"Loushuihe Bridge
舅河特大桥","(869) feet
265 meters","1,198 feet
365 meters",2024,"Hefeng, Hubei",China
39,"Zongxihe Bridge
总溪河特大桥","866 feet
264 meters","1,181 feet
360 meters",2015,"Weixinzhen, Guizhou",China
40,"Wulingshan Bridge
武陵山大桥","863 feet
263 meters","1,181 feet
360 meters",2009,"Pengshui, Chongqing",China
41,"Nanpanjiang Railway Bridge Qiubei
云桂铁路丘北南盘江大桥","860 feet
262 meters","1,365 feet
416 meters",2016,"Qiubei, Yunnan",China
42,"Zhangjiajie Grand Canyon Glass Footbridge
张家界大峡谷玻璃桥
World's Highest Footbridge","853 feet
260 meters","1,411 feet
430 meters",2016,"Sanguansixiang, Hunan",China
42A,"World's Highest Footbridges
大桥","853 feet
260 meters","1,460 feet
445 meters",2016,"China, Switzerland, Nepal"
43,"Jinshajiang Bridge Hutiaoxia
香丽高速虎跳峡金沙江大桥","853 feet
260 meters","2,513 feet
766 meters",2020,"Hutiaoxiazhen, Yunnan",China
44,"Gongshuihe Bridge
贡水河大桥","853 feet
260 meters","1,312 feet
400 meters",2015,"Xuan'en, Hubei",China
45,"Wujiang Bridge Yuqing
余庆乌江大桥","853 feet
260 meters","1,181 feet
360 meters",2016,"Goupitanzhen, Guizhou",China
46,"Italia Viaduct
Viadotto Italia","850 feet
259 meters","574 feet
175 meters",1974,"Laino Borgo, Calabria",Italy
47,"Dahe Bridge
六盘水大河特大桥","846 feet
258 meters","4,101 feet
1,250 meters",2024,"Liupanshui, Guizhou",China
48,"Jiangjiehe Bridge
江界河大桥","840 feet
256 meters","1,083 feet
330 meters",1995,"Weng'an, Guizhou",China
49,"Xixihe Railway Bridge
成贵高铁西溪河大桥","840 feet
256 meters","787 feet
240 meters",2019,"Dafang, Guizhou",China
50,"Qingjiang Bridge Shuibuya
水布垭清江大桥","(837) feet
255 meters","1,378 feet
420 meters",2018,"Shuibuyazhen, Hubei",China
51,"Yangshuihe Bridge
洋水河特大桥","833 feet
254 meters","755 feet
230 meters",2017,"Xifeng, Guizhou",China
52,"Jinshajiang Railway Bridge Hutiaoxia
丽香铁路虎跳峡金沙江大桥","820 feet
250 meters","2,165 feet
660 meters",2021,"Hutiaoxiazhen, Yunnan",China
53,"Mengdonghe Bridge Yongji
永吉高速猛洞河大桥","820 feet
250 meters","879 feet
268 meters",2017,"Gaopingxiang, Hunan",China
53.6,"Ganxi Bridge
甘溪特大桥","820 feet
250 meters","984 feet
300 meters",2021,"Xinbazhen, Guizhou",China
54,"Sfalassa Bridge
Viadotto Sfalassà","820 feet
250 meters","1,181 feet
360 meters",1974,"Bagnara Calabra, Calabria",Italy
55,"Azhihe Bridge
阿志河大桥","810 feet
247 meters","928 feet
283 meters",2003,"Changliuxiang, Guizhou",China
56,"Beipanjiang Bridge Shuipan
水盘高速北盘江大桥","804 feet
245 meters","951 feet
290 meters",2013,"Fa’er Bouyei, Guizhou",China
57,"Erlanghe Bridge
二郎河特大桥","804 feet
245 meters","656 feet
200 meters",2013,"Erlangxiang, Guizhou",China
58,"Malinghe Bridge Shankun
汕昆高速马岭河大桥","790 feet
241 meters","1,181 feet
360 meters",2011,"Xingyi, Guizhou",China
59,"Furongjiang Bridge Wulong
武隆芙蓉江大桥","787 feet
240 meters","755 feet
230 meters",2009,"Haokouxiang, Chongqing",China
60,"Xiangxi Yangtze River Bridge
香溪长江大桥","(787) feet
240 meters","1,667 feet
508 meters",2019,"Xiangxizhen, Hubei",China
60.4,"Beipanjiang New Fade Bridge
法德北盘江大桥","(787) feet
240 meters","919 feet
280 meters",2023,"Huangjiazhai, Guizhou",China
60.45,"Hongqi Bridge
红旗大桥","(787) feet
240 meters","722 feet
220 meters",2022,"Baiwanxiang, Sichuan",China
60.5,"Jinyanghe Bridge
金阳河特大桥","781 feet
238 meters","656 feet
200 meters",2021,"Jinyang, Sichuan",China
61,"Malinghe Bridge Three
马岭河3号大桥","(771) feet
235 meters","1,476 feet
450 meters",2022,"Xingyi, Guizhou",China
61.5,"Yunwu Bridge
云雾大桥","771 feet
235 meters","1,575 feet
480 meters",2021,"Yaoshangxiang, Guizhou",China
63,"Murong Bridge
木绒特大桥","(771) feet
235 meters","722 feet
220 meters",2019,"Yajiang, Sichuan",China
64,"Mengdonghe Bridge Zhanghua
张花高速猛洞河大桥","761 feet
232 meters","837 feet
255 meters",2013,"Yongshun, Hunan",China
64.5,"Yunnanzhuang Bridge
云南庄特大桥","(755) feet
230 meters","958 feet
292 meters",2024,"Hefeng, Hubei",China
65,"Tianjishan Footbridge
天脊山自然风景区索桥","755 feet
230 meters","(394) feet
120 meters", ????,"Linzhou, Henan",China
66,"Nanjiang Railway Bridge
南江特大桥","755 feet
230 meters","577 feet
176 meters",2015,"Kaiyang, Guizhou",China
67,"Wuchahe Bridge
五岔河特大桥","(755) feet
230 meters","591 feet
180 meters",2013,"Renhuai, Guizhou",China
67.5,"Hongxi Bridge
洪溪特大桥","(755) feet
230 meters","869 feet
265 meters",2020,"Taishun, Zhejiang",China
67.6,"Suba Bridge
苏坝特大桥","(755) feet
230 meters","1,148 feet
350 meters",2024,"Mabian, Sichuan",China
68,"Labajin Bridge
腊八斤特大桥","750 feet
229 meters","656 feet
200 meters",2012,"Yingjing, Sichuan",China
68.5,"Honghe Bridge Jianyuan
建元高速红河特大桥","748 feet
228 meters","2,297 feet
700 meters",2021,"Yuanyang, Yunnan",China
69,"Tongzihe Bridge
桐梓特大桥","741 feet
226 meters","656 feet
200 meters",2013,"Erlangxiang, Guizhou",China
70,"Wuzuohe Bridge
武佐河特大桥","738 feet
225 meters","1,247 feet
380 meters",2015,"Yinazhen, Guizhou",China
71,"Shennongxi Bridge Hurong
沪蓉高速神农溪大桥","738 feet
225 meters","1,050 feet
320 meters",2013,"Yanduhezhen, Hubei",China
71.5,"Jipu Bridge
吉普大桥","(738) feet
225 meters","197 feet
60 meters",2019,"Jifucun, Tibet",China
72,"Zhuchanghe Bridge
朱昌河特大桥","735 feet
224 meters","656 feet
200 meters",2008,"Sanbanqiaozhen, Guizhou",China
73,Auburn-Foresthill Bridge,"730 feet
223 meters","862 feet
263 meters",1973,"Auburn, California",United States
74,"Yuanjiang Railway Bridge
玉磨铁路元江大桥","730 feet
223 meters","817 feet
249 meters",2021,"Yuanjiang, Yunnan",China
75,Mtentu Bridge,"730 feet
223 meters","853 feet
260 meters",2024,"Lundini, Eastern Cape",South Africa
77,"Qixinghe Bridge
七星河特大桥","725 feet
221 meters","656 feet
200 meters",2013,"Hezhang, Guizhou",China
78,"Kaixiahe Bridge
凯峡河特大桥","722 feet
220 meters","722 feet
220 meters",2016,"Shiguxiang, Guizhou",China
78.5,"Niuluhe Bridge
牛路河特大桥","722 feet
220 meters","640 feet
195 meters",2021,"Fuzhixiang, Hunan",China
78.55,"Xi'ninghe Bridge
西宁河特大桥","(722) feet
220 meters","1,673 feet
510 meters",2024,"Xinshizhen, Sichuan",China
78.6,"Jipu Footbridge
吉普人行吊桥","(722) feet
220 meters","197 feet
60 meters",2006,"Jifucun, Tibet",China
78.7,"Lianshanhe Bridge
连山河特大桥","(722) feet
220 meters","656 feet
200 meters",2021,"Wangjiazhaizhen, Guizhou",China
79,"San Marcos Bridge
Puente San Marcos","722 feet
220 meters","591 feet
180 meters",2013,"Xicotepec de Juárez, Puebla",Mexico
80,"Corgo Bridge
Viaduto do Corgo","722 feet
220 meters","984 feet
300 meters",2013,"Vila Real, Trás-os-Montes",Portugal
81,"Platano Viaduct
Viadotto Platano","722 feet
220 meters","955 feet
291 meters",1978,"Romagnano al Monte, Campania",Italy
82,"Mangjiedu Bridge
漭街渡大桥","722 feet
220 meters","722 feet
220 meters",2009,"Yongxin Yizu Xiang, Yunnan",China
83,"Weijiazhou Bridge
魏家洲特大桥","722 feet
220 meters","656 feet
200 meters",2009,"Gaojiayanzhen, Hubei",China
84,"Wuzuohe Railway Bridge
织纳铁路武佐河大桥","722 feet
220 meters","499 feet
152 meters",2016,"Yinazhen, Guizhou",China
85,"Sanchahe Bridge Xiarong
厦蓉高速三岔河大桥","719 feet
219 meters","755 feet
230 meters",2015,"Liuchangxiang, Guizhou",China
86,"Mashuihe Bridge
马水河特大桥","720 feet
219 meters","656 feet
200 meters",2008,"Baiyangpingxiang, Hubei",China
87,"Daninghe Bridge Hurong
沪蓉高速大宁河大桥","719 feet
219 meters","1,312 feet
400 meters",2010,"Wushan, Chongqing",China
88,"Houzihe Bridge
猴子河特大桥","719 feet
219 meters","722 feet
220 meters",2010,"Sandu, Guizhou",China
89,"Xixihe Bridge Guibi
贵毕公路西溪河大桥","715 feet
218 meters","1,109 feet
338 meters",2001,"Linquanzhen, Guizhou",China
90,"Xisha Bridge
细沙河特大桥","711 feet
217 meters","623 feet
190 meters",2010,"Lianghezhen, Chongqing",China
91,Bloukrans Bridge,"708 feet
216 meters","892 feet
272 meters",1984,"Nature's Valley, Western Cape",South Africa
92,"Liutonghe Bridge
溜筒河大桥","(708) feet
216 meters","492 feet
150 meters",2016,"Dapingzixiang, Sichuan",China
93,"Daxiaojing Bridge
大小井特大桥","708 feet
216 meters","1,476 feet
450 meters",2019,"Dongdangxiang, Guizhou",China
95,"Phil G McDonald Bridge
Glade Creek Bridge","700 feet
213 meters","784 feet
239 meters",1988,"Beckley, West Virginia",United States
96,Glen Canyon Dam Bridge,"700 feet
213 meters","1,028 feet
313 meters",1959,"Page, Arizona",United States
97,"Nujiang Railway Bridge Darui
大瑞铁路怒江大桥","696 feet
212 meters","1,608 feet
490 meters",2022,"Lamengxiang, Yunnan",China
98,"Jinshajiang Bridge Hulukou
金沙江葫芦口大桥","692 feet
211 meters","2,152 feet
656 meters",2017,"Hulukouzhen, Sichuan",China
99,"Yelanghe Railway Bridge
夜郎河特大桥","689 feet
210 meters","1,214 feet
370 meters",2018,"Yelangzhen, Guizhou",China
100,"Hezhang Bridge
赫章特大桥","689 feet
210 meters","591 feet
180 meters",2013,"Hezhang, Guizhou",China
